code,link_sec,date,doc_title,link_eng,link_es
 PR-3753 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3753,11/9/26,Bolivia. Propuesta de préstamo para el “Programa de Apoyo a la Política Fiscal y su Descentralización (Segunda Operación Programática)”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9360,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9194
 PR-3752 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3752,11/9/20,Paraguay. Propuesta de préstamo y financiamiento no reembolsable para el “Programa de Saneamiento y Agua Potable para El Chaco y Ciudades Intermedias de la Región Oriental del Paraguay”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9359,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9193
 PR-3751 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3751,11/9/20,Panamá. Propuesta de préstamo para el “Programa de Reducción de Vulnerabilidad por Desastres Naturales y Cambio Climático I”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9358,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9192
 PR-3750 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3750,11/9/20,República Dominicana. Propuesta de préstamo para el “Programa de Fomento al Turismo – Ciudad Colonial de Santo Domingo”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9357,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9191
 PR-3749 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3749,11/9/20,Brasil. Propuesta de préstamo para el “Programa de Modernización y Humanización de la Salud”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9356,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9190
 PR-3748 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3748,11/9/13,Ecuador. Propuesta de préstamo para el “Programa de Seguridad Ciudadana: Fortalecimiento de la Eficacia Policial Mediante Mejoras en la Gestión y Uso de la Información Criminológica”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9791,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9631
 PR-3747 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3747,11/9/13,Ecuador. Propuesta de préstamo para el “Programa para el Fortalecimiento del Ciclo de Preinversión”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9790,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9630
 PR-3746 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3746,11/9/02,El Salvador. Propuesta de préstamo para el “Programa de Conectividad Rural en Zonas Norte y Oriente”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9787,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9626
 PR-3745 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3745,11/9/02,Brasil. Propuesta de préstamo para el “Programa de Modernización de la Gestión del Patrimonio Inmobiliario del Gobierno Federal de Brasil”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9786,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9625
 PR-3744-2 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3744-2,11/10/04,El Salvador. Propuesta de préstamo para el “Programa de Apoyo al Desarrollo Productivo para la Inserción Internacional”. Versión aprobada,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9794,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9634
 PR-3743 ,http://sec.iadb.org/Site/Documents/DOC_Detail.aspx?pSecRegN=PR-3743,11/9/02,Bolivia. Propuesta de préstamo para el proyecto “Sembrando Oportunidades para Pequeños Productores de Sésamo en Bolivia”,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-1866733175-9784,http://idbdocs.iadb.org/wsdocs/getdocument.aspx?docnum=EZSHARE-95269781-9623
